epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.095,1.69509,2.36133,1.45119,0.5153,0.44815,0.44368,0.22832,1.6262,1.77087,1.41405,0.0671564,0.000331754,0.000331754
2,412.894,1.57754,1.70087,1.33042,0.62445,0.55271,0.57252,0.30796,1.46838,1.63246,1.29057,0.0341345,0.000643139,0.000643139
3,601.636,1.47664,1.47053,1.28597,0.76323,0.58923,0.67108,0.38585,1.37883,1.22974,1.25189,0.0010905,0.000932524,0.000932524
4,787.866,1.45304,1.35309,1.279,0.82439,0.62894,0.72898,0.41429,1.37083,1.17626,1.21969,0.000901,0.000901,0.000901
5,972.875,1.39237,1.23978,1.2266,0.82235,0.62142,0.71666,0.40579,1.35928,1.09106,1.22089,0.000868,0.000868,0.000868
6,1153.91,1.31977,1.18452,1.2018,0.83498,0.63591,0.74772,0.42986,1.30506,1.1739,1.19676,0.000835,0.000835,0.000835
7,1358.52,1.3092,1.11918,1.19372,0.82446,0.69385,0.77342,0.46092,1.30795,0.98692,1.18989,0.000802,0.000802,0.000802
8,1568.73,1.32692,1.09138,1.18793,0.81615,0.69288,0.7677,0.44854,1.2696,1.01767,1.18781,0.000769,0.000769,0.000769
9,1778.75,1.2718,1.04573,1.17818,0.83647,0.68158,0.78368,0.45195,1.28898,0.96374,1.19192,0.000736,0.000736,0.000736
10,1988.71,1.2242,1.00509,1.16925,0.89116,0.68942,0.80363,0.47277,1.24557,0.91649,1.14924,0.000703,0.000703,0.000703
11,2196.44,1.1985,0.95081,1.1382,0.83227,0.72042,0.80218,0.48826,1.22124,0.87384,1.12654,0.00067,0.00067,0.00067
12,2395.4,1.23011,0.93876,1.14483,0.83147,0.72763,0.80737,0.4817,1.29326,0.89827,1.18947,0.000637,0.000637,0.000637
13,2601.1,1.2187,0.8926,1.14523,0.83336,0.75507,0.8198,0.49495,1.24143,0.84472,1.14967,0.000604,0.000604,0.000604
14,2785.09,1.20127,0.89894,1.13443,0.82195,0.70782,0.79748,0.47706,1.24529,0.92398,1.15075,0.000571,0.000571,0.000571
15,2968.02,1.19013,0.873,1.12914,0.84943,0.73805,0.81373,0.49143,1.24198,0.80925,1.14491,0.000538,0.000538,0.000538
16,3174.11,1.15594,0.85608,1.13076,0.88318,0.72827,0.81403,0.49122,1.24433,0.80643,1.1566,0.000505,0.000505,0.000505
17,3369.57,1.13284,0.83106,1.1065,0.89406,0.75501,0.83156,0.50694,1.23847,0.79817,1.14809,0.000472,0.000472,0.000472
18,3558.4,1.19322,0.84018,1.11993,0.87371,0.76788,0.83565,0.5124,1.21431,0.77284,1.12874,0.000439,0.000439,0.000439
19,3770.45,1.12528,0.80941,1.09759,0.88118,0.79471,0.84704,0.52465,1.17493,0.74155,1.10997,0.000406,0.000406,0.000406
20,3976.59,1.1253,0.78346,1.09567,0.8577,0.77646,0.84803,0.52234,1.14963,0.72077,1.09462,0.000373,0.000373,0.000373
21,4184.63,1.07349,0.6944,1.06359,0.87523,0.79617,0.84627,0.51833,1.16507,0.73528,1.10351,0.00034,0.00034,0.00034
22,4391.56,1.06527,0.67133,1.05353,0.85079,0.7625,0.82474,0.52002,1.16547,0.72167,1.09706,0.000307,0.000307,0.000307
23,4597.47,1.04776,0.66172,1.04727,0.84814,0.77904,0.84378,0.53222,1.17134,0.71021,1.10979,0.000274,0.000274,0.000274
24,4787.1,1.02722,0.63925,1.03525,0.84225,0.77342,0.8354,0.52999,1.14632,0.72065,1.08864,0.000241,0.000241,0.000241
25,4995.99,1.01236,0.6088,1.02451,0.85752,0.78827,0.84198,0.53664,1.13784,0.70894,1.07975,0.000208,0.000208,0.000208
26,5185.57,1.0098,0.61078,1.03311,0.87277,0.78643,0.85288,0.53455,1.14952,0.69599,1.08932,0.000175,0.000175,0.000175
27,5387.36,1.00548,0.59937,1.02476,0.85944,0.79671,0.85358,0.54856,1.13968,0.68738,1.08154,0.000142,0.000142,0.000142
28,5602.01,0.98062,0.58597,1.0209,0.87898,0.78637,0.85419,0.54802,1.12734,0.67711,1.07642,0.000109,0.000109,0.000109
29,5814.11,0.97398,0.57266,1.01232,0.87751,0.80451,0.85844,0.54884,1.1381,0.66453,1.07871,7.6e-05,7.6e-05,7.6e-05
30,6029,0.96623,0.56583,1.01163,0.88723,0.78309,0.85762,0.54852,1.12881,0.66429,1.07489,4.3e-05,4.3e-05,4.3e-05
